text,script
ਟਰੰਪ ਨੇ ਤਾ ਗੁੱਸਾ ਕੀਤਾ ਉਹ ਤਾਂ ਠੀਕ ਆ ਪਰ ਬਾਕੀ ਦੇਸਾ ਵਾਲੇ ਵੀ ਇਹੀ ਕੰਮ ਕਰਨ ਲੱਗ ਪਏ ਆ ਬਾਈ ਟਰੰਪ kad ਦੇ,Gurmukhi
ਤੈਨੂੰ ਸੀਰੀਅਸ ਲੇਗਿਆ ਟਰੰਪ,Gurmukhi
bai trump kad dea nhi ta vkhla ohna pkka v kd dna aaa,Roman Punjabi
ji sun liya uney dwayi vi deti agle ney,Roman Punjabi
hun day mama ohna jattan day pesy wapis jehrry zameena waich k gaye c hun pyou trump ny pichy sutt dita,Roman Punjabi
trump de dil te lag gayi gal,Roman Punjabi
tery a song de chakaar cha loka de ghar barbad ho. gay,Roman Punjabi
ਲਖ ਲਾਹਨਤ ਆਹ ਬਕਵਾਸ ਬੋਲ ਕੇ ਜੱਟਾਂ ਦੇ ਪੁੱਤ ਰੋਲ਼ ਦਿੱਤੇ ਹੋਰ ਲੈ ਪੰਗਾ ਟਰੰਪ ਨਾਲ,Gurmukhi
hun puch ke dekh bhrava jina de lakha rapaiye dubbe ne. tusi te bahar v ohi ghusi porni jo ethe bhrde o par jere vchare majbuuria maare gaye c ona da nas krya. thora bht soch kea kro fukri maran vele jive trump jvai hunda desh da president oh v dunia de sab toh powerful desh da. apne sale bande e klan ne,Roman Punjabi
trump le hi ada hiii,Roman Punjabi
ਤੇਰੇ ਗਾਣੇ ਨੇ ਬਵਾਲ ਖੜ੍ਹਾ ਕਰ ਦਿੱਤਾ ਫਰਵਰੀ ਨੂੰ ਟਰੰਪ ਫਿਰ ਪੰਜਾਬ ਵਿੱਚ ਜਹਾਜ ਭਰ ਕੇ ਭੇਜ ਰਿਹਾ ਹੈ ਪੰਜਾਬੀਆਂ ਦਾ,Gurmukhi
ਜੱਟਾਂ ਦੇ ਪੁੱਤਾਂ ਨੂੰ ਭੇਜ ਦਿੰਦਾ ਏ ਟਰੰਪ ਕਹਿੰਦੇ ਅਮਰੀਕਾ ਵਿਚੋਂ ਜਾਜ ਭਰ ਕੇ,Gurmukhi
bus kr mama ini vi nahi pori da ... trump di american army dr age tu patou ne ki kanta put laina .. america legally jao ... koi issue nahi .. te je ena khabibulin.. te illegally jehde lokan noon america ton baahr kud ta trump ... ia unan noon america wapas vaarde... fukri,Roman Punjabi
le rokta trump ne hun das ki kariye,Roman Punjabi
le rokta trump ne jatta de kutta nu,Roman Punjabi
baki hun pata lagg raha ha jado trump indians nu depot kar raha ha,Roman Punjabi
do jahaz or a langy wa parawa mafi da gana kad dy,Roman Punjabi
by trump de tha kise hore da na gana karda indian deport krata bahan di lan,Roman Punjabi
jutt da putta nu rok lita trump na ta us tu baad jutt da putt deport ho gay na,Roman Punjabi
ਚੀਮਾ ਬਾਈ ਸਰ ਤੁਹਾਡੇ ਗਾਣੇ ਦੀ ਵਜਹਾ ਨਾਲ ਬਹੁਤ ਲੋਕਾਂ ਦੀ ਜਾਨ ਬਚੀ ਆ ਕਿਉਂਕਿ ਜਦੋਂ ਕੋਈ ਡੋਂਕੀ ਰਾਹੀਂ ਅਮੇਰੀਕਾ ਜਾਂਦਾ ਸੀ ਤਾਂ ਜੋ ਲੋਕ ਬਿਮਾਰ ਹੁੰਦੇ ਸੀ ਤਾਂ ਉਹਨੂੰ ਉੱਥੇ ਸਿੱਟ ਕੇ ਅਗਾਂਹ ਚਲ ਜਾਂਦੇ ਸੀ ਜਿਸ ਕਾਰਨ ਉਹ ਆਪਣੇ ਪਰਿਵਾਰ ਤੋਂ ਵੀ ਵਿਛੜਦੇ ਸੀ ਤੇ ਉਹਨਾਂ ਦੀ ਰੂਹਾਂ ਉਥੇ ਹੁੰਦੀਆਂ ਸੋ ਮੈਨੂੰ ਤੁਹਾਡੇ ਤੇ ਪਰਾਊਡ ਆ ਵੀ ਤੁਹਾਡੀ ਵਜਾ ਨਾਲ ਇਹ ਜੋ ਵੀ ਗੰਦਾ ਕੰਮ ਰੁਕਿਆ,Gurmukhi
ਫੁੱਟ ਕੰਧਾਂ ਟੱਪ ਕੇ,Gurmukhi
fukre singra de fukre song. hun ohi trump aa jehre jahaj bhar bhar bhej rea wapis.,Roman Punjabi
ਟਰੰਪ ਨੇ ਡੰਡਾ ਦੇ ਛੱਡਿਆ ਸਾਲਿਆ,Gurmukhi
lai das kar hoon gall,Roman Punjabi
bhai ji trump ne gana translation kr ke sun luya,Roman Punjabi
roke ni sidha chak ke india mare,Roman Punjabi
ਮਰਵਾਤੇ ਲੱਖ ਆਲੇ ਤੇਰੇ ਗੀਤ ਨੇ,Gurmukhi
ta hi jatta de put side punjab ch a k utare,Roman Punjabi
hahahaha le liya suwaad hun trump ny danda de dita,Roman Punjabi
jatta de putt tenu ron de ne bai,Roman Punjabi
ਜੱਟਾਂ ਦੇ ਮੁੰਡਿਆਂ ਦੀ ਬ ਮਾਰੀ ਹ ਦੂਜਾ ਆ ਨੂੰ ਉਹੀ ਭੇਜਤਾ,Gurmukhi
bahi trump ne translate kar ke sun laya,Roman Punjabi
hore koi eda de gane bnao punjabi vapis leao bhaiye bhajao punjab bachao,Roman Punjabi
boht sohna likhya bai ji..,Roman Punjabi
jattan de putan nu rok sake na trump jattan de putan nu thok reha trump,Roman Punjabi
fukriyan ghat marya kar teriyan fukriyan krke baki pariwar khajal ho rahe ne jinna de ji depot kar ditte gye ne india nu daagi krn ch tere wargya ne koi kasar ni chhadi,Roman Punjabi
ghusiyan tere warge bhorde aa te bhugtna bakiyan nu painda wa dekh la hun tera pe depot karke sare indians nu wapas bheji janda hun,Roman Punjabi
bai mr gya trump please hun kise hor country te gana na kaddi,Roman Punjabi
ਯਾਰ deport ਕਰਾਤੇ ਬੰਦੇ y ਤੂੰ ki milya hun,Gurmukhi
jatt chd tu ta bharwa sare h krwa te eh song krke,Roman Punjabi
duki tiki wang bhaaar kad te,Roman Punjabi
ਇਸ ਗੀਤ ਕਰਕੇ ਟ੍ਰੰਪ ਨੇ ਜਹਾਜ ਭਰਕੇ ਭੇਜਿਆ ਸਾਲਿਓ ਤੁਹਾਨੂੰ ਫੁਕਰੇਪਣ ਨੇ ਹੀ ਮਾਰਿਆ,Gurmukhi
ਕੌਣ ਕੌਣ trump ਦੁਆਰਾ ਪੰਜਾਬੀਆਂ ਨੂੰ deport ਕਰਾਉਣ ਤੋਂ ਬਾਅਦ ਇਹ ਗਾਣਾ ਸੁਣਨ ਆਇਆ ਏਥੇ,Gurmukhi
song beghair sochy dal diya. trump ny soch kar dal diya,Roman Punjabi
oh bharava delete krde eh gaana. pr aale na kadva deyi hun kite..,Roman Punjabi
ਜੜਾਂ ਚ ਬੈਠ ਗਿਆ ਤੇਰਾ ਗਾਣਾ ਭਰਾਵਾ,Gurmukhi
cheeme yaar tera song translate kar k de dita trump nu... hun ohne sachi rok ta,Roman Punjabi
ki aa ki aa trump hi aa trump hi aa,Roman Punjabi
bas kar veer bohot ho gyea,Roman Punjabi
trump da sawad lande c agla thuda swad lehgya lakh lon di tha lakh nal bache nu pada likh lo tuhdi te garibi cha gai bacha pad gya usa ap green card te leju.,Roman Punjabi
punjab america ban kyon lagaya hai,Roman Punjabi
gana yaar attt tera lokki hun jo marji khi jaan,Roman Punjabi
sun laya te fer ke hoya no if no butt only jatt,Roman Punjabi
trump gal sai karti bai ny par kiti galat bandy laiyy aa,Roman Punjabi
jattan de putta nu hun rakhe na trump pehlee vech ditti das hun ki kriye,Roman Punjabi
kalyan nu nai si pata k ki lyrics na ni ta onna na ni sa awna wich,Roman Punjabi
ਤੇਰੀ ਭੈਣ ਦੀ,Gurmukhi
amazing edit karan bai... ehi seen dekhna c bro menu pata c ki video vich eh kuj howe ga ..,Roman Punjabi
bhai ap ke concert ki ticket bahut mhagi kyu hai,Roman Punjabi
asi ta mareed ksi lak dy vi nai,Roman Punjabi
sacha pyare ali gallan jinna nay avdey pyara to pheeti lvaheee hai,Roman Punjabi
on top aujla ji i am do my thiing next video,Roman Punjabi
ek song to ap apne wife ke saath bi bana sakte ho kyuki ve bi heroine h,Roman Punjabi
aujla fvrt singer relex ho jata banda jitna bhi sad ho,Roman Punjabi
jb sy sidhi ki death hui mjy koi b punjabi singer ni acha lagta,Roman Punjabi
haan nahi chahuno thakde vi nahi rahi vi jaane aa reh sakde vi nahi na nahi akh chakde vi nahi tere toh bina koi hor takde vi nahi haan nahi chahuno thakde vi nahi rahi vi jaane aa reh sakde vi nahi na nahi akh chakde vi nahi tere ton bina koi hor takde vi nahi tainu heera milea hai kar kadar tu thodi tere piche aunda gabhru ni kinne dil todi dil aujla ji dedo ek hath jandi jodi tere naal di rakane main gulab sanne modi je tu akk gi rakane assi akde vi nahi assi ta mureed kise luck de vi nahi tere moore sohne chehre kakh de vi nahi haan nahi chahuno thakde vi nahi rahi vi jaane aa reh sakde vi nahi na nahi akh chakde vi nahi tere toh bina koi hor takde vi nahi haan nahi chahuno thakde vi nahi rahi vi jaane aa reh sakde vi nahi na nahi akh chakde vi nahi tere toh bina koi hor takde vi nahi kisse gal toh rakane munda nassea vi howe ghar howe tah sahi nahi par wasea vi howe main keha karana smilean mainu chatti biba pass mainu dass tah sahi je munda hassea vi,Roman Punjabi
eh gaana,Roman Punjabi
ਹੰਕਾਰੀ ਨਾ ਬਣੋ ਦਰਤੀ ਤੇ ਡਿੱਗਣ ਵਿੱਚ ਜ਼ਿਆਦਾ ਸਮਾਂ ਨਹੀਂ ਲੱਗੇਗਾ ਮੈਂ ਰਾਕਾ ਨੂੰ ਕਿਹਾ ਸੀ ਕਿ ਉਹ ਮੇਰੇ ਪੈਰ ਛੂਹੇ ਕਿਉਂਕਿ ਉਹ ਛੋਟੀ ਜਾਤ ਦਾ ਹੈ ਤਾਂ ਬਾਈ ਕੋਈ ਗੱਲ ਨਹੀਂ ਸਮਾਂ ਸਭ ਕੁਝ ਦੱਸੇਗਾ ਰੱਬ ਨੂੰ ਆਪਣੀਆਂ ਗਲਤੀਆਂ ਉਦੋਂ ਹੀ ਪਤਾ ਲੱਗਦੀਆਂ ਹਨ ਜਦੋਂ ਉਹ ਧਰਤੀ ਤੇ ਡਿੱਗਦਾ ਹੈ ਕਦੇ ਵੀ ਹੰਕਾਰੀ ਨਾ ਬਣੋ ਭਾਵੇਂ ਤੁਸੀਂ ਕਿੰਨੇ ਵੀ ਉੱਚੇ ਹੋਵੋ ਰੱਬ ਹਰ ਵਾਰ ਮੇਰਾ ਭਰਾ ਹੈ ਜੇ ਤੁਸੀਂ ਉਸਦੇ ਪੈਰਾਂ ਦੀ ਧੂੜ ਤੋਂ ਵੀ ਨੀਵੇਂ ਹੋ ਤਾਂ ਤੁਸੀਂ ਕੀ ਹੋ ਬਾਈ ਕਿਸੇ ਨੂੰ ਵੀ ਅਜਿਹੀਆਂ ਗੱਲਾਂ ਕਹਿਣਾ ਬਹੁਤ ਬੁਰਾ ਹੈ ਜਾਤ ਬਾਰੇ ਜਾਂ ਕੀ ਉਹ ਅਜੇ ਜਵਾਨ ਹੈ ਇਹ ਉਹ ਸਭ ਕੁਝ ਸਮਾਂ ਬਦਲ ਜਾਵੇਗਾ ਅਤੇ ਹੰਕਾਰ ਜ਼ਰੂਰ ਟੁੱਟ ਜਾਵੇਗਾ ਮੈਨੂੰ ਦੱਸੋ ਕਿ ਕੌਣ ਮੇਰੇ ਨਾਲ ਸਹਿਮਤ ਹੈ ਅਤੇ ਕੌਣ ਨਹੀਂ,Gurmukhi
bhhg,Unknown
bhh,Unknown
ਤੁਹਾਡਾ ਗੀਤ ਵਧੀਆ ਲੱਗਿਆ ਕਰਨ ਪਾਜੀ,Gurmukhi
bai swaad agya gaana sun ke miss you bai,Roman Punjabi
ustaad de ustaad aujla jaan bhole nath ji tohanu hor zada rarki den,Roman Punjabi
asi jithy v jane aa bund marone fer kam cholne aaa,Roman Punjabi
bahut aage jaoge karan aujla ji,Roman Punjabi
aujla bro army se hu please support me no father no mother duniya se koi ummeed nahi hai apni mehnat se hi aapa veer bade howange,Roman Punjabi
geet gaao shiv kumar de vadia lagga geet,Roman Punjabi
ਤੇਰੀ ਤਾਂ ਤਾ ਵੀ ਬਿਕਦੀ ਏ ਭਰਾਵਾ,Gurmukhi
karan aujla sings this song only for palak aujla hn akh chakde vi nahi tere toh bina hor takde bii,Roman Punjabi
bai ji att karati aa,Roman Punjabi
sachi enjh kiwe likh lenda ae kamaaal ae teri kalam,Roman Punjabi
akash ka asli character agar pata lage koi ladki joota marne bhi na aye... aisi kalol hui hai ab bhabhi tai koi bhi heal nahi kar payegi ise say thankyou to your cousin yehi din toh yaad rehte hain even ill remember these days and laugh for decades,Roman Punjabi
bai main vedio ajj dobara dekhi mza jeha aa gyea,Roman Punjabi
sidu bhai k baad mujhe koi pasand ata toh aap ho bhai,Roman Punjabi
hit on jere dendyean salahan meri jutti di aa nokan and the step.bro you nailed it,Roman Punjabi
music bahut payara h ikky bhai i like it bambiha bole super song tha apke music mein ye music bhi bada att h kaash ke moose ki video mein aap kro aane wale song unke ikky,Roman Punjabi
ਕਰਮਾ ਵਾਲੀ,Gurmukhi
bhut shona gaaana aa . dil nu lggg giya .. dil krda baaar baaar sune java,Roman Punjabi
bhut sona song veer ji m te baar baar sun rhi ha.,Roman Punjabi
very very nice veer ji song,Roman Punjabi
ਦੱਬ ਕੇ ਰੱਖ ਬਰੋ,Gurmukhi
ਅੱਤ ਸਾਂਗ . . ਸਾਡਾ ਥਾਪੀ ਦੇ ਕੇ ਤੋਰਿਆ ਬੰਦਾ ਬੰਬ ਬਣੇ.. ਉੱਤੋ ਬੰਬ ਬੁਲਾਕੇ ਰਖੀ ਦੇ ਆ ਡੋਰਾ ਦੇ..,Gurmukhi
ooo paji sasriyakal sarya nu me thoda apna nikhil te bhai me himachal te ya te bhai menu twada song bhot sona lagda te bhai vaheguru da khalsa waheguru ji di fteh,Roman Punjabi
ਗਾਣਾ ਠੀਕ ਆਂ ਵੀਡੀਓ ਦੀ ਕੁਜ਼ ਨੀ ਸਮਝ ਲੱਗੀ,Gurmukhi
banda bamb aa sandhu saab,Roman Punjabi
ਜੱਟ ਨੇ ਜਵਾਨੀ ਚ ਟੌਹਰ ਅਲੇ ਬੀਜ ਬੇਇਜੇ ਨੀ,Gurmukhi
jordan oye love you oye,Roman Punjabi
jordan paji tuhada face same telugu actor ram pothineni ke tarah h..dekhna paji,Roman Punjabi
jatta video kaint aa,Roman Punjabi
ਵੈਰੀ ਨਾਈਸ ਵੀਰ ਜੀ,Gurmukhi
video ki banai aa .kuj samj hi nahi aa reha a.,Roman Punjabi
jawani song nal ve eda e josh aunda karan maan,Roman Punjabi
munda sandhu aa da,Roman Punjabi
gur sidhu da music hun bohat jyada bamb ho gea aa,Roman Punjabi
mhr hath me chd je asla to asla ke chd jwani ni,Roman Punjabi
dhan gur nanak dev sahib maharaj ji tuci he tuci o mehar kario sab te pls,Roman Punjabi
brother ganna bahut sohna par brother video da swad nhi aya,Roman Punjabi
ਹਰ ਘੋੜੀ ਨੂੰ ਘਾਹ ਨੀਂ ਪਾਉਂਦੇ,Gurmukhi
yaar story smjh ni aai menu song di,Roman Punjabi
bai last ch kudi de goli kyu mari,Roman Punjabi
gana hi nahi samajh aaya bus,Roman Punjabi
pahlan badiya lagi si par fuddu video aa ji,Roman Punjabi
bai ji de liverpool di tshirt pai hai. sirrraa brand hai liverpool,Roman Punjabi
ਰੂਟੀਨਜ਼ ਐਵਰਗ੍ਰੀਨ,Gurmukhi
ਗੀਤ ਬਾਰ ਬਾਰ ਸੁਣਣ ਲਾਇਕ,Gurmukhi
ਲਾਇਰਿਕਸ ਹਿਰਦੇ ਚ ਛੂਹਦੇ,Gurmukhi
ਬੀਟ ਕਮਾਲ ਦਾ ਹੈ,Gurmukhi
ਗੀਤ ਗੋੜਾਇਆ ਸੋਹਣੀ ਆਵਾਜ਼ ਵਿੱਚ,Gurmukhi
ਲਾਇਰਿਕਸ ਦਿਲ ਨੂੰ ਛੂਹਦੇ,Gurmukhi
ਬੀਟ ਕਮਾਲ ਦਾ,Gurmukhi
lyrics kavy riyyaaz ne kamaal kar ditta,Roman Punjabi
ਗੁਲਾਬ ਸਿਧੂ ਰੈਪ ਮਾਸਟਰ,Gurmukhi
ਰੂਟੀਨਜ਼ ਐਨਰਜੀ ਫੁੱਲ,Gurmukhi
ਰੂਟੀਨਜ਼ ਆਨ ਲੂਪ,Gurmukhi
ਰੂਟੀਨਜ਼ ਐਨਰਜੀ ਨਾਲ ਭਰਪੂਰ,Gurmukhi
ਰੂਟੀਨਜ਼ ਗਲੇਮਰਸ,Gurmukhi
ਲਾਇਰਿਕਸ ਦੇ ਅਰਥ ਗਹਿਰੇ,Gurmukhi
ਲਿਰਿਕਸ ਬਹੁਤ ਮੀਠੇ,Gurmukhi
ਗੀਤ ਗੋੜਾਇਆ ਦੀ ਸਿੰਗਿੰਗ ਮੈਜਿਕ,Gurmukhi
ਡਾਇਮੰਡ ਦੀ ਪ੍ਰੋਡਕਸ਼ਨ ਕਿੰਗ,Gurmukhi
ਗੀਤ ਗੋੜਾਇਆ ਦੀ ਹਿਰਦਾ ਛੂਹਣ ਵਾਲੀ ਸਿੰਗਿੰਗ,Gurmukhi
ਗੁਲਾਬ ਸਿਧੂ ਦੀ ਵਾਇਬ ਬੇਮਿਸਾਲ,Gurmukhi
ਗੀਤ ਗੋੜਾਇਆ ਦਾ ਮੈਲੋਡੀਅਸ ਟਚ,Gurmukhi
ਰੂਟੀਨਜ਼ ਸਟਾਈਲਿਸ਼,Gurmukhi
ਲਿਰਿਕਸ ਸੱਚਾਈ ਨਾਲ ਭਰਪੂਰ,Gurmukhi
ਗੁਲਾਬ ਸਿਧੂ ਦਾ ਰੈਪ ਲਾਜਵਾਬ,Gurmukhi
ਗੀਤ ਗੋੜਾਇਆ ਐਂਜਲਿਕ ਸਿੰਗਰ,Gurmukhi
bhut sohna song ha ji,Roman Punjabi
sangtar ji tuc ithe ki karde pae o,Roman Punjabi
ikky bhai bura hoyaa yrr tussi kudi nu pand ni aaye,Roman Punjabi
karn jado koi tuhadi fotto la k youtube geet poda ta manu brra gussa oda what iam like your all song karn bhaji tuhade geet loka diya akha kholde ne love you bro mere pind gerra maro kadi vehle ho k i am your big fan rabb tuhano hamsa khus te chardikala bakse brother i am belong to jalndher near bhogur brother,Roman Punjabi
ਗੱਠਾਂ ਆਲ਼ੇ ਡਰੈਵਰ,Gurmukhi
thumbnail dekh ke kaun kaun aaya haai,Roman Punjabi
ਅਤ,Gurmukhi
ਇੱਕੋ ਗੱਲ ਬਾਰ ਬਾਰ ਜਾਣੇ ਉ ਕਰੀ ਵੀਰੇ ਝਾਂਜ਼ਰਾ ਨਾਰਾਂ gfbf ਤੋ ਊੱਤੇ ਵੀ ਆ ਦੂਨੀਆ ਬੜੀ cheema y,Gurmukhi
aaye haye aujle kaint,Roman Punjabi
karan be like first go to so high fook do saare paise ik hi gaane te and nowadays like bai ji low budget aa kaam hi saarna,Roman Punjabi
oye holi aa gayi oyeee,Roman Punjabi
eh video nakli aa aasli ta reels aali aa,Roman Punjabi
me ta sonu sito ale di foto bhekh ke aai c v onu e select kitta,Roman Punjabi
ਸਿੱਧੂ ਮੂਸੇ ਵਾਲਾ ਦਿੱਲ ਦਾ ਨੀ ਮਾੜਾ,Gurmukhi
hun ek song vi naal karlo,Roman Punjabi
sonu sito waly di photo kithy reh gai mein ty sonu da kar ky aya,Roman Punjabi
ave lowre kuch to different kar har gaana same hota h tera,Roman Punjabi
karan aujla vibe hi alag hai dil khush ho jata hai sun ke,Roman Punjabi
notifications se kaun kaun aaya hai,Roman Punjabi
ਜਦੋਂ ਮਾਲ ਨਾ ਖਿੜੇ ਫੇਰ aujle de ਗਾਣੇ ਸੁਣ ਕੇ ਸਰੂਰ ਬਹੁਤ ਆਉਂਦਾ ਸਿੱਧੀ ਸੂਈ ਲਾਲ ਟਕ ਚ ਵੜ ਜਾਦੀ ਆ ਲਬ ਯੂ paa karan aujla,Gurmukhi
apne maa baap ki lambi umar ke liye liye kre,Roman Punjabi
sade pind wali movie pind name sibian faridkot,Roman Punjabi
moral of the story logo k munh ni bandh ho skty just keep moving with positive mindset,Roman Punjabi
ਵਧੀਆ ਵੀਡੀਓ ਵਧੀਆ ਵੀਡੀਓ,Gurmukhi
bahut vadya soch diti tusi,Roman Punjabi
movie da nam das do ji,Roman Punjabi
movie maze ki hy ke nhi ya time bacha ln apna,Roman Punjabi
ਇਸ ਫਿਲਮ ਦਾ ਨਾਮ ਕੀ ਹੈਜੇ ਕਿਸੇ ਨੂੰ ਪਤਾ ਹੋਵੇ ਤਾਂ ਲਿਖ ਦਿਉ ਜੀ,Gurmukhi
lok kede halke pye a loka de gher ale te keda gnde njar rkh de a,Roman Punjabi
ਬੱਲੇ ਉਏ ਚਲਾਕ ਸੱਜਣਾ,Gurmukhi
bahut vadiya movie,Roman Punjabi
ਬਹੁਤ ਹੀ ਸੋਹਣੀ ਫਿਲਮ ਹਰ ਇੱਕ ਨੇ ਬਹੁਤ ਮਿਹਨਤ ਕੀਤੀ ਹੈ ਜੀ,Gurmukhi
radhee radhee jai shree shanidev maharaj ji jai shree mahaveer hanuman ji jai shri dhamshaa mata rani ji jai shree mata rani ji jai shree navdurga ji jai shree mata rani ji jai shri dhamshaa mata rani ji radhee radhee har har har mahadev ji,Roman Punjabi
ਬਹੁਤ ਸੋਹਣੀ ਮੋਵੀ ਹੈ,Gurmukhi
ਮੂਵੀ ਦਾ ਨਾ ਕੀ ਆ.,Gurmukhi
ਬਹੁਤ ਸੋਹਣੀ ਫਿਲਮ ਆ ਜੇ ਹਰ ਇੱਕ ਦੀ ਸੋਚ ਵਧੀਆ ਹੋਵੇ ਤਾਂ ਰਿਸ਼ਤਿਆਂ ਚ ਕਦੇ ਫਿੱਕ ਨਹੀਂ ਪੈ ਸਕਦਾ,Gurmukhi
royal punjabi real punjabi,Roman Punjabi
bht hi kamaal movie h yaar,Roman Punjabi
aa kudi di age kini a,Roman Punjabi
ਵਾਲ਼ੇ,Gurmukhi
i feel proud i born in punjab land of gurus whom gives us the message of love and brotherhood but some antinational people like shiv sena and khalistani make punjab image dirty,Roman Punjabi
a ਉਮਰ ਸੀ ਵਿਆਹ ਦੀ,Gurmukhi
saal di hogi hun umar lukondi firdi.,Roman Punjabi
aa song kinna ko purana aa dassy ga koe,Roman Punjabi
ch release hoya c eh song kyo mgr pye o vichari de,Roman Punjabi
ਗੁਰਲੀਨ ਚੋਪੜਾ ਦੇ ਵਿਆਹ ਨੇ ਗੀਤ ਫਿਰ ਤਾਜ਼ਾ ਕਰਤਾ ਬਿੰਦਰਖੀਆ ਦੀ ਯਾਦ ਜਿਊਦੀ ਕਰਤੀ ਬਾਕੀ ਉਮਰ ਕੌਣ ਕੌਣ ਚੈਕ ਕਰਨ ਆਇਆ,Gurmukhi
lagda ha ghat to ghat ehdi age hun ta honi a,Roman Punjabi
bindrakhia kado da mar ke rah peya te ehda viah hun ho rehamy god,Roman Punjabi
eh song te ohne views odo nhi aye hone jdo release hoya c jine hun aaye gurleen de viah ton baad,Roman Punjabi
bay ajj gor nal gulin kour eh gana sal purana lagda,Roman Punjabi
ਵਿਆਹ ਦਾ ਇਹ ਟਾਈਮ ਹੁਣ ਲਈ ਕ ਆਈ ਇਹ ਸਾਲ ਬਾਅਦ,Gurmukhi
ਚ ਬਿੰਦਰਖੀਆ ਸਾਬ ਦੀ ਮੌਤ ਹੋਈ ਤੇ ਗੁਰਲੀਨ ਦਾ ਜਨਮ ਦਾ ਹੈ ਮਤਲਵ ਕੇ ਸਾਲ ਦੀ ਉਮਰ ਚ ਆ ਗਈ ਸੀ ਗਾਣੇ ਚ,Gurmukhi
gurleen hai eh model hun pta lgya,Roman Punjabi
udo te assi b bache c jdo eh ganna aya c,Roman Punjabi
ਇਹ ਸੌਂਗ ਕਦੋਂ ਆਇਆ ਕਿਹੜੇ ਸੰਨ ਵਿੱਚ ਆਏ ਤੇ ਲੈ ਕੇ ਕਰਿਓ ਤੇ ਇਹਦਾ ਵਿਆਹ ਕਦੋਂ ਹੋਇਆ ਹੁਣ ਕਿੰਨੀ ਉਮਰ ਦੀਦੀ ਦੱਸਿਓ ਪੁਲਿਸ ਲੈ ਕੇ ਕਰਕੇ ਮੈਨੂੰ ਪਤਾ ਨਹੀਂ ਹੈਗਾ,Gurmukhi
jado eh gaana aya. ehda gharwala jammya c,Roman Punjabi
ਗੁਰਲੀਨ ਚੋਪੜਾ ਦੇ ਵਿਆਹ ਤੋਂ ਬਾਅਦ ਵਾਲੇ,Gurmukhi
bai ji a sachi gurleen chopra ho skdaa koi hor hove,Roman Punjabi
poori research krn ton baad gurleen di umar saal hai ji,Roman Punjabi
saal di tan ithe he lg rahi a,Roman Punjabi
har koi jo gurleen de viah di news dekh sun chuka oh sach chooth apni akhan nal vekhan aya,Roman Punjabi
ਗੁਰਲੀਨ ਚੌਪੜਾ ਦਾ ਵਿਆਹ ਹੋਣ ਤੋਂ ਬਾਅਦ ਉਮਰ ਦਾ ਕੌਣ ਕੌਣ ਫ਼ਰਕ ਦੇਖਣ ਆਇਆ,Gurmukhi
eh aunti apne agg ch saal dsdi aa da birth eh gana ch aya c saal di lgdi aa kisi nu eh ta pls dso,Roman Punjabi
ਗੁਰਲੀਨ ਚੋਪੜਾ ਇਹ ਜਿਸਦਾ ਹੁਣ ਵਿਆਹ ਹੋਇਆ,Gurmukhi
ਐਨਾ ਪੁਰਾਣਾ ਗੀਤ ਇਹ ਗੁਰਲੀਨ ਓਦੋਂ ਜਵਾਨ ਸੀ ਮੈਂ ਤਾਂ ਹੈਰਾਨ ਆ,Gurmukhi
gurleen chopra da birth te google te show hunda ki da pur eh song ch aya ki eh saal di c odo lgdi te di c,Roman Punjabi
hey please koi das sakda ki eh born hai search on google this is the birth of and it is in and surjit bindarkahiyes song was released in means eh us waqt sirf saal di c...video ch ta saal di lgdi aa,Roman Punjabi
purane ganyea di ta gal hi hor hodi ee,Roman Punjabi
ਇਹ ਤਾਂ ਬੱਗੇ ਕਾਵਾਂ ਵੇਲੇ ਦੀ ਆ ਵਿਆਹ ਏਨੇ ਹੁਣ ਕਰਵਾਇਆ ਸਾਨੂ ਲੱਗਦਾ ਸੀ ਕਿਤੇ ਅਸ਼ੀ ਲੇਟ ਕਰਵਾਇਆ ਇਹ ਤਾ ਸਾਡੇ ਤੋਂ ਵੀ ਵਾਲੀ ਲੇਟ ਆ,Gurmukhi
kaun kaun gurleen chopra vekhn aya,Roman Punjabi
mai tn eh kudi de vyah to badd dhyan nal sunya te dekhya song ajj,Roman Punjabi
ajj eh da viah hoya song year da,Roman Punjabi
song sun ke kisko kisko apne bachpan ka yaad aya,Roman Punjabi
nazara a jnda jdo daru piti hove te a gana chlda hove jine a gana gaya love a yrr onu dil hi khus rhke yrr onu,Roman Punjabi
dydhhdjdjduftchdufycjeieiruyd www wy t y message and my friends and your family are not able to join my life and my we are expecting to ek hi ek stag ke t se bhi hai kya r ek hi ek ek ek,Roman Punjabi
bahut pyara hai ye gana ek baar akhon ko band karke feel karo bhagwaan krishan ji ko,Roman Punjabi
ਵਾਲੇ ਹਾਜ਼ਰੀ ਲਵਾ ਦਿਓ,Gurmukhi
jai shree ram ji jai bala ji jai baba neem karoli ji,Roman Punjabi
ਹਸ਼ਰ ਵਾਲੀ ਸ਼ਗਨ,Gurmukhi
